> mm3
[info] Compiling 3 Scala sources to /Documents/EPFL/MasterProj/lamp-dp-mt/target/scala-2.10/classes...
[make] libRNA.jnilib up to date.
[make] RNAfold up to date.
[info] Running v4.examples.MatrixMultGen3
[info] ====( CUDA warm-up )==============================================
[info] Analysis             : 0.008 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,018 sec
[info] - CUDA compute       : 1,640 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.687 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 1,640 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,011 sec
[info] Execution            : 1.685 sec
[info] Memory selection     : 16,09Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 1,639 sec
[info] - CUDA backtrack     : 0,012 sec
[info] - JNI output         : 0,010 sec
[info] Execution            : 1.684 sec
[info] ---- Size = 4096 ----------------
[info] Size / splits        : 4096 x 4096 / 64
[info] C/CUDA compilation   : 1.750 sec
[info] Scala compilation    : 0.081 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,019 sec
[info] - CUDA compute       : 10,256 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,023 sec
[info] Execution            : 10.330 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 10,237 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,021 sec
[info] Execution            : 10.304 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 10,242 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,020 sec
[info] Execution            : 10.310 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 10,243 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,021 sec
[info] Execution            : 10.310 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 10,238 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,021 sec
[info] Execution            : 10.307 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 10,240 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,021 sec
[info] Execution            : 10.308 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 10,240 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,021 sec
[info] Execution            : 10.307 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,016 sec
[info] - CUDA compute       : 10,231 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,021 sec
[info] Execution            : 10.299 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,015 sec
[info] - CUDA compute       : 10,234 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,020 sec
[info] Execution            : 10.301 sec
[info] Memory selection     : 64,17Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,018 sec
[info] - CUDA compute       : 10,238 sec
[info] - CUDA backtrack     : 0,024 sec
[info] - JNI output         : 0,021 sec
[info] Execution            : 10.308 sec
[info] ---- Size = 8192 ----------------
[info] Size / splits        : 8192 x 8192 / 512
[info] C/CUDA compilation   : 1.753 sec
[info] Scala compilation    : 0.079 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,021 sec
[info] - CUDA compute       : 71,121 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,042 sec
[info] Execution            : 71.242 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,018 sec
[info] - CUDA compute       : 71,099 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,042 sec
[info] Execution            : 71.215 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 71,096 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,041 sec
[info] Execution            : 71.211 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,018 sec
[info] - CUDA compute       : 71,108 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,041 sec
[info] Execution            : 71.224 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 71,091 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,042 sec
[info] Execution            : 71.208 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,019 sec
[info] - CUDA compute       : 71,106 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,041 sec
[info] Execution            : 71.223 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,020 sec
[info] - CUDA compute       : 71,104 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,042 sec
[info] Execution            : 71.223 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 71,089 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,042 sec
[info] Execution            : 71.204 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 71,091 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,042 sec
[info] Execution            : 71.207 sec
[info] Memory selection     : 256,34Mb / 1023,69Mb -> cost:device, backtrack:device
[info] - JNI read           : 0,017 sec
[info] - CUDA compute       : 71,101 sec
[info] - CUDA backtrack     : 0,048 sec
[info] - JNI output         : 0,040 sec
[info] Execution            : 71.215 sec
[info] ====( Scala warm-up )=============================================
[info] Execution            : 49.768 sec
[info] ====( Scala )=====================================================
[info] ---- Size = 128 ----------------
[info] Execution            : 0.780 sec
[info] Execution            : 0.744 sec
[info] Execution            : 0.762 sec
[info] Execution            : 0.760 sec
[info] Execution            : 0.742 sec
[info] Execution            : 0.750 sec
[info] Execution            : 0.745 sec
[info] Execution            : 0.753 sec
[info] Execution            : 0.757 sec
[info] Execution            : 0.748 sec
[info] Execution            : 0.742 sec
[info] Execution            : 0.753 sec
[info] Execution            : 0.759 sec
[info] Execution            : 0.742 sec
[info] Execution            : 0.787 sec
[info] Execution            : 0.747 sec
[info] Execution            : 0.761 sec
[info] Execution            : 0.746 sec
[info] Execution            : 0.764 sec
[info] Execution            : 0.743 sec
[info] ---- Size = 256 ----------------
[info] Execution            : 6.018 sec
[info] Execution            : 6.001 sec
[info] Execution            : 5.936 sec
[info] Execution            : 5.934 sec
[info] Execution            : 5.981 sec
[info] Execution            : 5.947 sec
[info] Execution            : 5.963 sec
[info] Execution            : 5.963 sec
[info] Execution            : 5.943 sec
[info] Execution            : 5.943 sec
[info] Execution            : 5.980 sec
[info] Execution            : 5.950 sec
[info] Execution            : 5.925 sec
[info] Execution            : 5.977 sec
[info] Execution            : 5.945 sec
[info] Execution            : 5.934 sec
[info] Execution            : 5.927 sec
[info] Execution            : 6.013 sec
[info] Execution            : 5.942 sec
[info] Execution            : 5.959 sec
[info] ---- Size = 512 ----------------
^C#
